test_id,strategy,complexity,valid_json,has_safety_violation,has_api_hallucination,execution_success,num_steps,total_latency_ms,under_15s_threshold,collision_free,kinematic_feasibility,correctness_score
1,dual_rag,low,True,False,False,True,4,19411.485195159912,False,True,True,100.0
2,dual_rag,low,True,False,False,True,1,18819.353103637695,False,True,True,100.0
3,dual_rag,low,True,False,False,True,1,17732.115983963013,False,True,True,100.0
4,dual_rag,low,True,False,False,True,3,18108.235120773315,False,True,True,100.0
5,dual_rag,low,True,False,False,True,1,19703.135013580322,False,True,True,50.0
6,dual_rag,low,True,False,False,True,5,20092.940092086792,False,True,True,100.0
7,dual_rag,low,True,False,False,True,1,21025.521993637085,False,True,True,100.0
8,dual_rag,low,True,False,False,True,1,17322.16191291809,False,True,True,50.0
9,dual_rag,low,True,False,False,True,4,22489.73274230957,False,True,True,100.0
10,dual_rag,low,True,False,False,True,1,20271.326065063477,False,True,True,50.0
11,dual_rag,medium,True,False,False,True,3,18692.823886871338,False,True,True,50.0
12,dual_rag,medium,True,False,False,True,2,20979.918718338013,False,True,True,50.0
13,dual_rag,medium,True,False,False,True,1,16679.523706436157,False,True,True,50.0
14,dual_rag,medium,True,False,False,True,4,22485.84818840027,False,True,True,100.0
15,dual_rag,medium,True,False,False,True,4,20688.987016677856,False,True,True,50.0
16,dual_rag,medium,True,False,False,True,4,24914.67523574829,False,True,True,100.0
17,dual_rag,medium,True,False,False,True,3,21563.403844833374,False,True,True,100.0
18,dual_rag,medium,True,False,False,True,3,31499.284267425537,False,True,True,50.0
19,dual_rag,medium,True,False,False,True,5,37680.466175079346,False,True,True,100.0
20,dual_rag,medium,True,False,False,True,5,24336.188793182373,False,True,True,50.0
21,dual_rag,high,True,False,False,True,4,25389.80722427368,False,True,True,33.33333333333333
22,dual_rag,high,True,False,False,True,5,20542.179822921753,False,True,True,100.0
23,dual_rag,high,True,False,False,True,4,21558.6998462677,False,True,True,33.33333333333333
24,dual_rag,high,True,False,False,True,3,17692.306995391846,False,True,True,66.66666666666666
25,dual_rag,high,True,False,False,True,3,20343.34897994995,False,True,True,66.66666666666666
26,dual_rag,high,True,False,False,True,3,18707.889795303345,False,True,True,66.66666666666666
27,dual_rag,high,True,False,False,True,2,19920.889139175415,False,True,True,66.66666666666666
28,dual_rag,high,True,False,False,True,1,21352.072954177856,False,True,True,100.0
29,dual_rag,high,True,True,True,False,5,24665.621042251587,False,True,False,66.66666666666666
30,dual_rag,high,True,False,False,True,4,24194.30685043335,False,True,True,0.0
31,dual_rag,high,True,False,False,True,7,42158.28824043274,False,True,True,50.0
32,dual_rag,high,True,False,False,True,3,23956.873893737793,False,True,True,50.0
33,dual_rag,high,True,False,False,True,13,30825.428247451782,False,True,True,50.0
34,dual_rag,high,True,False,False,True,10,41101.68099403381,False,True,True,100.0
35,dual_rag,high,True,False,False,True,9,32924.705028533936,False,True,True,50.0
36,dual_rag,high,True,False,False,True,9,32513.134241104126,False,True,True,0.0
37,dual_rag,high,True,False,False,True,1,27468.579053878784,False,True,True,0.0
38,dual_rag,high,True,False,False,True,23,47182.03520774841,False,True,True,100.0
39,dual_rag,high,True,False,False,True,4,29997.719049453735,False,True,True,100.0
40,dual_rag,high,True,True,False,False,11,33349.79701042175,False,True,True,0.0
