test_id,strategy,complexity,valid_json,has_safety_violation,has_api_hallucination,execution_success,num_steps,total_latency_ms,under_15s_threshold,collision_free,kinematic_feasibility,correctness_score
1,single_rag,low,True,False,False,True,1,3216.506242752075,True,True,True,50.0
2,single_rag,low,True,False,False,True,1,1422.7471351623535,True,True,True,100.0
3,single_rag,low,True,False,False,True,1,1630.4728984832764,True,True,True,100.0
4,single_rag,low,True,True,False,False,1,2175.20809173584,True,True,True,0.0
5,single_rag,low,True,False,False,True,1,1822.429895401001,True,True,True,50.0
6,single_rag,low,True,True,False,False,2,3039.7348403930664,True,True,True,50.0
7,single_rag,low,True,True,False,False,2,2130.0811767578125,True,True,True,100.0
8,single_rag,low,True,True,False,False,2,3388.5750770568848,True,True,True,50.0
9,single_rag,low,True,True,False,False,2,2375.7619857788086,True,True,True,50.0
10,single_rag,low,True,True,False,False,2,3236.701011657715,True,True,True,50.0
11,single_rag,medium,True,True,False,False,3,4138.7739181518555,True,True,True,50.0
12,single_rag,medium,True,True,False,False,2,2807.271957397461,True,True,False,0.0
13,single_rag,medium,True,False,False,True,1,2520.06196975708,True,True,True,50.0
14,single_rag,medium,True,False,False,True,2,2846.039056777954,True,True,True,50.0
15,single_rag,medium,True,True,False,False,5,5154.419898986816,True,True,True,50.0
16,single_rag,medium,True,True,False,False,3,4116.724014282227,True,True,True,0.0
17,single_rag,medium,True,True,False,False,2,2614.104747772217,True,True,True,50.0
18,single_rag,medium,True,False,False,True,3,4520.353078842163,True,True,True,50.0
19,single_rag,medium,True,True,False,False,5,5824.253082275391,True,True,True,50.0
20,single_rag,medium,True,True,False,False,8,6161.200761795044,True,True,True,50.0
21,single_rag,high,True,True,False,False,2,3416.729211807251,True,True,False,0.0
22,single_rag,high,True,False,False,True,1,2728.2609939575195,True,True,True,66.66666666666666
23,single_rag,high,True,True,False,False,2,3984.657049179077,True,True,False,0.0
24,single_rag,high,True,True,False,False,2,2585.87908744812,True,True,False,0.0
25,single_rag,high,True,True,False,False,2,2913.956880569458,True,True,False,0.0
26,single_rag,high,True,False,True,False,2,3079.0019035339355,True,True,True,0.0
27,single_rag,high,True,False,False,True,2,2194.3178176879883,True,True,True,66.66666666666666
28,single_rag,high,True,True,False,False,2,2131.521224975586,True,True,True,50.0
29,single_rag,high,True,True,False,False,1,3451.8940448760986,True,True,False,0.0
30,single_rag,high,True,True,False,False,4,4151.869773864746,True,True,False,0.0
31,single_rag,high,True,True,False,False,7,5637.917041778564,True,True,True,50.0
32,single_rag,high,True,True,False,False,6,4514.808893203735,True,True,True,0.0
33,single_rag,high,True,False,False,True,5,3661.905288696289,True,True,True,50.0
34,single_rag,high,True,True,False,False,9,6339.031934738159,True,True,True,50.0
35,single_rag,high,True,True,False,False,10,6768.184661865234,True,True,True,50.0
36,single_rag,high,True,True,False,False,9,6248.733043670654,True,True,True,0.0
37,single_rag,high,True,True,False,False,2,2979.0921211242676,True,True,True,50.0
38,single_rag,high,True,True,True,False,18,10002.195119857788,True,True,True,50.0
39,single_rag,high,True,False,False,True,3,3537.689208984375,True,True,True,100.0
40,single_rag,high,True,True,False,False,13,7545.625925064087,True,True,False,50.0
